title| total_time |yields|ingredients|instructions|calories|nutrients|category
Chicken Murphy|50|8 servings|['1 pound bulk Italian sausage', '1 pound skinless, boneless chicken thighs, cut into 1-inch cubes', '1/4 cup all-purpose flour', '2 tablespoons olive oil, divided', '1 pound cremini mushrooms, quartered', '1 onion, chopped', '1 pepper red bell pepper, cut into 3/4-inch pieces', '1 green bell pepper, cut in 3/4-inch pieces', '3 cloves garlic, minced', '1 1/2 pounds russet potatoes, scrubbed and cubed into 1/2-inch pieces', '1 cup dry white wine', '1 cup reduced-sodium chicken broth', '1/4 cup brine from Peppadew peppers', '1 teaspoon Italian seasoning', '3/4 teaspoon salt', '1 cup Peppadew peppers, halved', 'chopped fresh Italian parsley']|Gather all ingredients.Cook sausage in a 5-to 6-quart Dutch oven over medium heat until browned, 6 to 8 minutes; transfer to a bowl with a slotted spoon.Place flour in a shallow plate; dredge chicken pieces in flour to coat.Heat 1 tablespoon oil in Dutch oven; add chicken and cook until lightly browned, 4 to 5 minutes. Transfer chicken to the bowl with sausage.Add remaining 1 tablespoon oil to the Dutch oven. Add mushrooms, onion, and bell peppers. Cook until tender, 6 to 8 minutes.Stir in garlic and cook until fragrant, about 1 minute.Stir in potatoes, white wine, chicken broth, brine, Italian seasoning, and salt; bring to a boil. Reduce heat to medium-low, cover, and simmer until potatoes are tender, about 10 minutes.Add Peppadew peppers and browned chicken and sausage; cook and stir until heated through and sauce is slightly thickened, about 3 minutes.Sprinkle with parsley before serving.|477 kcal|{'calories': '477 kcal', 'carbohydrateContent': '32 g', 'cholesterolContent': '101 mg', 'fiberContent': '4 g', 'proteinContent': '30 g', 'saturatedFatContent': '8 g', 'sodiumContent': '808 mg', 'sugarContent': '6 g', 'fatContent': '24 g', 'unsaturatedFatContent': '0 g'}|Dinner
Skillet Shrimp Fajitas with Cilantro-Lime Cream|40|5 servings|['1 cup sour cream', '3 tablespoons cilantro', '2 limes, zested and juiced', '1 clove garlic, minced', '1/2 teaspoon salt, or to taste', '2 teaspoons chili powder', '1/2 teaspoon cayenne pepper', '2 teaspoons ground cumin', '3/4 teaspoon garlic powder', '1/2 teaspoon smoked paprika', '1/2 teaspoon oregano', '1/2 teaspoon salt, or to taste', '1/4 teaspoon pepper', '2 pounds shrimp, peeled and deveined', '1 onion, thinly sliced', '1 green pepper, sliced vertically', '1 red pepper, sliced vertically', '1/4 cup avocado oil, divided', '1 lime, juiced, divided', '10 flour tortillas, warmed', '1 avocado - peeled, pitted, and sliced (optional)', '1 cup pico de gallo, (optional)', '1 bunch fresh cilantro, chopped (optional)']|For cilantro-lime cream, place sour cream in a small bowl with a lid. Add cilantro, zest and juice of 2 limes, garlic, and 1/2 teaspoon salt. Stir together well, cover, and refrigerate until ready to serve.For fajita seasoning, combine chili powder, cayenne pepper, cumin, paprika, oregano, salt and pepper in a small bowl; set aside.In a large bowl or resealable plastic bag, add 2 tablespoons oil, half of lime juice, and fajita seasoning. Stir together or squeeze the bag to combine. Add shrimp and mix well to coat shrimp; set aside.Heat remaining 2 tablespoons oil in a large skillet over medium heat. Stir onion and peppers into the hot oil, and cook, stirring frequently, until some color begins to develop on the vegetables, 3 to 5 minutes. Remove vegetables from the skillet and set aside.Add shrimp to the same skillet and cook for 2 to 3 minutes. Return cooked vegetables to the skillet. Cook and stir until shrimp is opaque and pink, 2 to 3 minutes. Squeeze remaining lime juice over the skillet contents.Fill warm tortillas with shrimp, peppers, and onions, and garnish with avocado slices, pico de gallo, and additional cilantro, if desired. Drizzle with cilantro-lime cream.|1167 kcal|{'calories': '1167 kcal', 'carbohydrateContent': '125 g', 'cholesterolContent': '410 mg', 'fiberContent': '15 g', 'proteinContent': '62 g', 'saturatedFatContent': '12 g', 'sodiumContent': '3199 mg', 'sugarContent': '7 g', 'fatContent': '48 g', 'unsaturatedFatContent': '0 g'}|Dinner,Entree
Weeknight Skillet Slaw|25|4 servings|['1 tablespoon chipotle hot sauce (such as Cholula®)', '1 tablespoon rice vinegar', '1 tablespoon soy sauce', '1 ½ teaspoons minced ginger', '1 teaspoon agave syrup', '1 tablespoon olive oil', '1 tablespoon sesame oil', '1 pound ground turkey', '½ teaspoon salt', '½ tablespoon ground black pepper', '1 (8 ounce) package coleslaw mix', '½ red bell pepper, diced', '2 green onions, chopped, or more to taste', '2 cloves garlic, minced', '1 tablespoon sesame seeds']|Mix chipotle hot sauce, rice vinegar, soy sauce, ginger, and agave syrup together in a small bowl to make sauce.Heat olive oil and sesame oil in a wok or large skillet over medium heat. Add ground turkey; cook, stirring to break up clumps, until juices run clear, about 6 minutes. Season with salt and pepper. Transfer to a bowl, reserving juices in the wok.Combine coleslaw mix, red bell pepper, green onions, and garlic in the wok; cook and stir over medium heat until slaw is slightly wilted, 1 to 2 minutes. Add sauce; mix to combine, about 1 minute. Return turkey to the wok and stir until heated through, 2 to 3 minutes.Sprinkle sesame seeds over slaw before serving.|302 kcal|{'calories': '302 kcal', 'carbohydrateContent': '13 g', 'cholesterolContent': '88 mg', 'fiberContent': '2 g', 'proteinContent': '24 g', 'saturatedFatContent': '4 g', 'sodiumContent': '682 mg', 'sugarContent': '2 g', 'fatContent': '18 g', 'unsaturatedFatContent': '0 g'}|Dinner
Chicken with Creamy Sun-Dried Tomato Sauce|50|12 servings|['4 pounds boneless skinless chicken breasts', 'salt and pepper to taste', '10 tablespoons butter, divided', '6 cloves garlic, minced', '2 teaspoons Italian seasoning', '½ teaspoon red pepper flakes', '1 cup dry white wine (such as Chardonnay)', '2 cups chicken broth', '1 ½ cups heavy whipping cream', '1 cup oil-packed sun-dried tomatoes, thinly sliced', '1 cup thinly sliced fresh basil']|Place chicken breasts in a resealable plastic bag and pound to an even thickness. If breasts are very large, cut them in half. Season lightly with salt and pepper.Melt 4 tablespoons butter in a large nonstick skillet over medium heat and cook 1/2 of the chicken breasts until they are no longer pink in the center and the juices run clear, 5 to 10 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Remove from skillet and set aside. Melt another 4 tablespoons butter and repeat with the remaining chicken breasts. Set aside.Melt remaining 2 tablespoons butter in the same skillet and add garlic, Italian seasoning, and red pepper flakes. Cook, stirring constantly, for 1 minute. Pour in wine and bring to a boil. Reduce heat and simmer for 2 minutes. Pour in chicken broth, return to a boil, reduce heat, and simmer for 5 minutes. Stir in cream and sun-dried tomatoes. Simmer for 5 minutes.Stir in basil and return chicken to the skillet. Cook until chicken is thoroughly heated and sauce has thickened, about 5 minutes.|495 kcal|{'calories': '495 kcal', 'carbohydrateContent': '14 g', 'cholesterolContent': '153 mg', 'fiberContent': '1 g', 'proteinContent': '27 g', 'saturatedFatContent': '17 g', 'sodiumContent': '591 mg', 'sugarContent': '1 g', 'fatContent': '36 g', 'unsaturatedFatContent': '0 g'}|Dinner
Sticky Coconut Chicken and Rice Casserole|45|6 servings|['6 boneless, skinless chicken thighs', '2 teaspoons garlic salt', '1/4 cup canola oil, divided', '2 tablespoons minced fresh ginger', '3 cloves garlic', '1 ½ cups uncooked sushi rice', '1 3/4 cups chicken broth', '1 (13 1/2 oz) can unsweetened coconut milk', '2 cups bell peppers, cut into 1-inch pieces', '8 oz sugar snap peas, trimmed', '2 scallions, cut into 1-inch pieces', '1/2 cup coarsely chopped dry roasted peanuts', '½ cup coarsely chopped fresh cilantro leaves', '1 lime, cut into wedges, for serving', 'riracha sauce to taste']|Gather all ingredients.Preheat the oven to 375 degrees F (190 degrees C).Sprinkle both sides of chicken pieces with garlic salt.Heat 2 tablespoons oil in a Dutch oven over medium-high until shimmering. Add half of chicken pieces, and cook, turning occasionally, until golden brown on both sides, about 3 minutes per side. Remove to a plate and repeat with remaining chicken pieces.Heat remaining 2 tablespoons oil in the Dutch oven over medium-high heat (do not wipe out Dutch oven). Add ginger, garlic and rice; cook, stirring constantly, until ginger and garlic are aromatic and rice is evenly coated in oil, 1 minute.Add broth, coconut milk, bell peppers, sugar snap peas, and scallions, stirring and scraping the bottom of the Dutch oven to release browned bits from bottom of pot.Add chicken and any accumulated juices from plate; bring mixture to a boil over medium-high heat. Once mixture boils, remove from heat and cover with a lid.Bake in the preheated oven until all liquid has been absorbed, rice is tender, and chicken is no longer pink in the center and the juices run clear, 20 to 25 minutes. An instant-read thermometer inserted into the center should read 165 degrees F (74 degrees C).Serve bowls of rice and vegetables with chicken pieces on top, garnished with peanuts, cilantro, lime wedges, and Sriracha.|596 kcal|{'calories': '596 kcal', 'carbohydrateContent': '25 g', 'cholesterolContent': '196 mg', 'fiberContent': '4 g', 'proteinContent': '42 g', 'saturatedFatContent': '9 g', 'sodiumContent': '1167 mg', 'sugarContent': '6 g', 'fatContent': '38 g', 'unsaturatedFatContent': '0 g'}|Dinner
Arroz Con Pollo (Chicken and Rice)|45|4 servings|['4 skinless, boneless chicken breast halves, cut into 1-inch pieces', '½ teaspoon salt, divided', '½ teaspoon ground black pepper, divided', '½ teaspoon paprika, divided', '3 tablespoons vegetable oil', '1 green bell pepper, chopped', '¾ cup chopped onion', '1 ½ teaspoons minced garlic', '1 cup long-grain white rice', '1 (14.5 ounce) can chicken broth', '1 (14.5 ounce) can stewed tomatoes', '½ cup white wine', '⅛ teaspoon saffron', '1 tablespoon chopped fresh parsley']|Season chicken with a 1/4 teaspoon of salt, 1/4 teaspoon pepper, and 1/4 teaspoon paprika.Heat oil in a large skillet over medium heat. Add seasoned chicken; cook and stir until no longer pink in the center and golden brown on all sides, about 10 minutes. Transfer chicken onto a plate; set aside.Add green pepper, onions, and garlic to the same skillet; cook and stir for 5 minutes. Add rice; cook and stir until rice is opaque, 1 to 2 minutes. Stir in broth, tomatoes, white wine, and saffron. Stir in remaining 1/4 teaspoon salt, 1/4 teaspoon pepper, and 1/4 teaspoon paprika; bring to a boil, cover, and simmer for 20 minutes.Add chicken and stir until heated through. Stir in parsley and serve.|471 kcal|{'calories': '471 kcal', 'carbohydrateContent': '50 g', 'cholesterolContent': '69 mg', 'fiberContent': '3 g', 'proteinContent': '30 g', 'saturatedFatContent': '2 g', 'sodiumContent': '1015 mg', 'sugarContent': '6 g', 'fatContent': '14 g', 'unsaturatedFatContent': '0 g'}|Dinner
One-Pan Creamy Parmesan Chicken and Vegetables|45|4 servings|['2 pounds boneless skinless chicken thighs', '1/2 teaspoon talian herb seasoning', 'salt and freshly ground black pepper to taste', '2 tablespoons olive oil, divided', '2 tablespoons unsalted butter, divided', '1 cup onion', '1/2 teaspoon red pepper flakes, or to taste', '1 cup mushrooms', '1/2 red bell pepper, sliced lengthwise', '1 cup broccoli florets', '1 small zucchini, sliced in half vertically, then sliced crosswise', '1 cup carrots', '8 spears asparagus, cut into 1-inch pieces', '1/2 cup cherry tomatoes, halved', '4 cloves garlic, minced', '3/4 cup chicken broth', '1 cup frozen peas, thawed', '3/4 cup heavy cream', '3 ounces grated Parmesan cheese', 'fresh flat-leaf parsley sprigs for garnish (optional)']|Pat chicken thighs dry with paper towels and season with Italian seasoning. Season with salt and pepper.Combine 1 tablespoon olive oil and 1 tablespoon unsalted butter in a large, non-stick skillet or wok over medium-high heat.When oil is hot and butter is bubbling, add chicken thighs and cook until browned, 5 to 7 minutes. Turn chicken, reduce heat to medium-low, cover, and cook until juices no longer run pink, about 5 minutes more. An instant-read thermometer inserted near the center should read at least 165 degrees F (74 degrees C).Remove chicken from the skillet, place on a serving platter, and keep warm.To the same pan, over medium high heat, add remaining olive oil and butter, and allow butter to melt. Stir in onions and red pepper flakes and cook 1 to 2 minutes, then add mushrooms and bell peppers. Cook an additional 2 minutes, stirring frequently.Add broccoli florets, zucchini, and carrots. Cook, stirring, 1 to 2 minutes.Add asparagus, tomatoes, and garlic; cook until garlic is fragrant, about a minute.Pour in chicken broth and allow to come to a boil. Reduce heat to a simmer and stir in peas. When broth is lightly bubbling, add cream slowly, stirring, and stir in Parmesan cheese.To serve place 2 chicken thighs on each plate and top with vegetables and Parmesan cream. Garnish with fresh flat-leaf parsley. Serve warm.|850 kcal|{'calories': '850 kcal', 'carbohydrateContent': '30 g', 'cholesterolContent': '362 mg', 'fiberContent': '8 g', 'proteinContent': '69 g', 'saturatedFatContent': '24 g', 'sodiumContent': '1122 mg', 'sugarContent': '11 g', 'fatContent': '53 g', 'unsaturatedFatContent': '0 g'}|Dinner,Entree
Skillet Chicken and Asparagus with Lemon Caper Sauce|40|4 servings|['1/4 cup sour cream', '1/4 cup mayonnaise', '1/2 teaspoon Dijon mustard', '2 teaspoons capers', '1 teaspoon caper brine', '1/2 teaspoon dried dill', '1/4 teaspoon freshly ground black pepperc', '1 lemon, zested and juiced, divided', '2 tablespoons all purpose flour', '1 teaspoon lemon zest', '1/2 teaspoon garlic powder', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '1 3/4 pounds chicken tenders', '1 tablespoon unsalted butter', '1 tablespoon olive oil', '1 pound asparagus, cut into 2-inch pieces', '2 cloves garlic, minced', '1/2 cup chicken broth']|Stir together sour cream, mayonnaise, Dijon mustard, capers, caper brine, dill weed, and 1/4 teaspoon black pepper in a small bowl. Stir in 1 teaspoon lemon juice. Taste; add lemon juice as desired, up to 2 teaspoons more, reserving remaining lemon zest and juice for chicken. Refrigerate sauce until ready to use.Combine flour, 1 teaspoon lemon zest, garlic powder, salt, and 1/2 teaspoon black pepper in a resealable plastic bag. Shake to combine.Pat chicken dry with paper towels; add to the bag. Squeeze out most of the air, reseal the bag, and move chicken around until lightly coated with flour mixture.Heat butter and oil in a 12-inch skillet over medium heat; swirl the skillet a few times to mix. Add chicken to the hot skillet in a single layer; cook until browned, 3 to 4 minutes. Turn; cook until chicken is browned, no longer pink at the center, and juices run clear, 3 to 4 minutes. Internal temperature measured with an instant-read thermometer should be at least 165 degrees F (74 degrees C). Remove chicken to a plate; keep warm.To the same skillet, add asparagus; cook and stir until bright green, about 2 minutes. Remove to a plate; keep warm. Stir minced garlic into skillet; cook until fragrant, about 30 seconds. Pour chicken broth and 2 tablespoons lemon juice into the skillet; bring to a boil, scraping up the browned bits from the bottom of the pan.Return chicken to the skillet, and turn chicken to coat both sides in the liquid; return to a boil. Return asparagus to the skillet, and continue cooking until most of the liquid has evaporated, 1 to 2 minutes.Place chicken and asparagus on a serving plate and add a dollop of Lemon-Caper Cream.|895 kcal|{'calories': '895 kcal', 'carbohydrateContent': '70 g', 'cholesterolContent': '114 mg', 'fiberContent': '10 g', 'proteinContent': '44 g', 'saturatedFatContent': '11 g', 'sodiumContent': '2148 mg', 'sugarContent': '11 g', 'fatContent': '53 g', 'unsaturatedFatContent': '0 g'}|Dinner,Entree
Skillet Sausage and Vegetables|45|5 servings|['1 pound red potatoes, halved, or quartered if larger than 2 inches', '2 tablespoons olive oil', '1 pound chicken apple sausage, sliced 1/4-inch thick', '1/2 teaspoon red pepper flakes', '1 red onion, sliced vertically', '1 1/2 cups bell peppers, mixed colors', '1 cup broccoli florets', '2 cloves garlic, minced', '1 cup chicken broth', 'salt and freshly ground black pepper to taste']|Place potatoes in a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer for 10 minutes. Drain.Heat olive oil in a 12-inch nonstick skillet over medium heat; cook and stir potatoes until just beginning to brown, about 15 minutes.Add sausage and red pepper flakes to skillet, and cook for 1 minute. Stir in onion, bell peppers, and broccoli; cook until broccoli is bright green and crisp-tender, about 3 minutes.Stir in garlic and chicken broth. Bring to a boil, and cook until liquid is evaporated. Season with salt and pepper.|356 kcal|{'calories': '356 kcal', 'carbohydrateContent': '27 g', 'cholesterolContent': '85 mg', 'fiberContent': '3 g', 'proteinContent': '26 g', 'saturatedFatContent': '3 g', 'sodiumContent': '756 mg', 'sugarContent': '4 g', 'fatContent': '16 g', 'unsaturatedFatContent': '0 g'}|Dinner,Entree
Unstuffed Pepper Skillet|40|4 servings|['2 tablespoons olive oil', '8 ounces mini sweet peppers, sliced crosswise (about 10 peppers, mixed colors)', '1 cup chopped yellow onion', '1 pound lean ground sirloin (90/10)', '1 tablespoon minced garlic', '1 ½ teaspoons Italian seasoning', '1 (15 ounce) can tomato sauce', '¼ cup water', '3 tablespoons hot cherry pepper hoagie spread (such as Cento)', '¾ teaspoon kosher salt', '1 (8.8 ounce) package microwavable white rice (such as Uncle Ben’s), crumbled', '1 cup shredded Italian cheese blend', '2 tablespoons chopped fresh basil or flat-leaf parsley']|Heat oil in a large skillet over medium-high heat. Add peppers and onion; cook, stirring occasionally, until softened, about 4 minutes. Add beef and cook, stirring to crumble, until lightly browned, about 5 minutes. Season with garlic and Italian seasoning and cook, stirring constantly, until fragrant, about 1 minute. Stir in tomato sauce, water, hoagie spread, and salt.Bring to a boil over medium-high heat. Stir in rice until coated evenly with sauce. Cover, reduce heat to medium to maintain a simmer, and cook until rice and vegetables are tender, about 8 minutes, stirring once halfway through to prevent sticking.Uncover, remove from heat, and sprinkle with shredded cheese. Re-cover and let sit until cheese melts, 1 to 2 minutes. Serve hot sprinkled with basil or parsley.|513 kcal|{'calories': '513 kcal', 'carbohydrateContent': '64 g', 'cholesterolContent': '70 mg', 'fiberContent': '5 g', 'proteinContent': '32 g', 'saturatedFatContent': '4 g', 'sodiumContent': '1046 mg', 'fatContent': '13 g', 'unsaturatedFatContent': '0 g'}|Dinner
Tater Tot Hotdish|105|6 servings|['2 tablespoons olive oil', '2 cups chopped yellow onion', '1 pound ground chuck beef (80% lean)', '½ teaspoon garlic powder', '½ teaspoon onion powder', '½ teaspoon black pepper', '2 (10.5 ounce) cans condensed cream of mushroom soup', '2 cups frozen cut green beans, thawed', '2 cups frozen sweet corn, thawed', '1 ½ pounds frozen tater tots', "¼ teaspoon seasoned salt (such as Lawry's®)", '½ cup shredded sharp Cheddar cheese', '2 small scallions, thinly sliced']|Preheat the oven to 400 degrees F (200 degrees C)Set a large deep cast iron skillet over medium-high heat. Add olive oil and swirl to coat skillet evenly. Add onions to skillet in one even layer; top with ground beef, breaking it up into small pieces. Cook undisturbed until onions are translucent, about 2 minutes. Stir beef and onions until well combined, and cook until beef is cooked through and browned, stirring occasionally, 3 to 4 minutes longer.Reduce heat to medium. Season beef with garlic powder, onion powder, and black pepper. Cook, stirring often, for 1 more minute. Remove from heat. Add cream of mushroom soup, green beans, and corn; stir until well combined.Toss tater tots and seasoned salt in a bowl to combine. Arrange tater tots decoratively over beef mixture in the skillet, avoiding large gaps between tots.Bake in the preheated oven until tater tots are golden and crisp, about 1 hour. Sprinkle with cheese and scallions; cool 10 minutes before serving.|666 kcal|{'calories': '666 kcal', 'carbohydrateContent': '52 g', 'cholesterolContent': '74 mg', 'fiberContent': '6 g', 'proteinContent': '22 g', 'saturatedFatContent': '14 g', 'sodiumContent': '1252 mg', 'fatContent': '45 g', 'unsaturatedFatContent': '0 g'}|Dinner
Ground Beef Stroganoff Noodles|40|4 servings|['1 tablespoon unsalted butter', '1 tablespoon vegetable oil', '1 cup thinly sliced mushrooms', '1 teaspoon salt, plus more to taste', '½ cup diced onion', '1 pound ground beef', 'freshly ground black pepper', '1 pinch cayenne pepper', '2 cloves minced garlic', '1 ⅓ tablespoons flour', '2 tablespoons vodka (Optional)', '2 ½ cups beef broth, or as needed', '1 cup water', '2 ½ cups egg noodles', '½ cup sour cream, plus more for serving', '2 tablespoons fresh sliced chives or green onions']|Gather all ingredients.Melt butter and oil in a skillet over medium-high heat. Add mushrooms, season with salt, and saute, stirring occasionally, until they turn golden brown, 5 to 10 minutes.Add onion and ground beef. Cook, stirring, until meat is browned and crumbly, and onions turn soft and translucent, about 5 minutes. Season with black pepper and cayenne.Stir in minced garlic and flour, and cook for 1 minute.Pour in vodka and allow to evaporate, about 30 seconds.Stir in beef broth and water and bring to a simmer. Cook, stirring occasionally, for 10 minutes.Reduce heat to medium, and mix in noodles. Cover with a tight-fitting lid and simmer for 5 minutes. Uncover and stir thoroughly. Cover again and cook until noodles are just tender, about 3 minutes. (See Cook's Note.)Once noodles are cooked, reduce heat to low, and stir in sour cream.Serve immediately with additional sour cream and green onions or chives if so desired.|598 kcal|{'calories': '598 kcal', 'carbohydrateContent': '24 g', 'cholesterolContent': '137 mg', 'fiberContent': '2 g', 'proteinContent': '26 g', 'saturatedFatContent': '19 g', 'sodiumContent': '1082 mg', 'fatContent': '44 g', 'unsaturatedFatContent': '0 g'}|Dinner,Entree,Pasta
One Pot Tortellini Bake|40|6 servings|['1 pound ground beef', '1 teaspoon Italian seasoning', '½ teaspoon salt', '½ teaspoon granulated garlic', '1 (28 ounce) jar marinara sauce', '1 (14.5 ounce) can diced tomatoes', '1 cup water', '¼ cup Cabernet Sauvignon (or other dry red wine)', '1 (16 ounce) package tortellini', '1 (8 ounce) package cream cheese, cubed', '4 ounces shredded mozzarella cheese']|Heat a Dutch oven over medium-high heat. Add ground beef and cook until brown and crumbly, 5 to 10 minutes. Add Italian seasoning, salt, and granulated garlic; mix to combine.Stir in marinara sauce, diced tomatoes with liquid, water, and red wine until well combined. Reduce heat to low; add tortellini and cook until warmed through, about 10 to 15 minutes.Meanwhile, preheat the oven to 375 degrees F (190 degrees C).Add cream cheese to tortellini mixture and stir gently to blend; sprinkle mozzarella cheese over the surface.Bake in the preheated oven until cheese is melted and golden brown, about 15 minutes. Serve immediately.|783 kcal|{'calories': '783 kcal', 'carbohydrateContent': '57 g', 'cholesterolContent': '153 mg', 'fiberContent': '6 g', 'proteinContent': '33 g', 'saturatedFatContent': '23 g', 'sodiumContent': '1412 mg', 'fatContent': '46 g', 'unsaturatedFatContent': '0 g'}|Dinner
One-Pan Tomato & Spinach Chicken Pasta|40|2 servings|['10 ounces boneless skinless chicken breasts, cut into 1 inch pieces', '1 tablespoon olive oil', '1 medium onion, chopped', '¼ cup red wine', '1 (14.5 ounce) can diced tomatoes with basil, garlic, and oregano, undrained', '1 cup Swanson® Chicken Broth', '4 ounces uncooked penne pasta', '¾ cup water', '4 cups baby spinach']|Season the chicken as desired. Heat the oil in a 12-inch skillet over medium-high heat. Add the chicken and cook until well browned, stirring often. Remove the chicken from the skillet.Add the onion to the skillet and cook until tender-crisp, stirring occasionally. Add the wine and heat to a boil, stirring to scrape up any browned bits from the bottom of the skillet.Stir in the tomatoes, Swanson Chicken Broth, penne, and water; heat to a boil. Reduce the heat to medium. Cook for 10 minutes or until the penne is tender, stirring occasionally. Return the chicken to the skillet. Cook for 2 minutes or until the chicken is cooked through. Stir in the spinach and cook for 1 minute or until the spinach is wilted.|525 kcal|{'calories': '525 kcal', 'carbohydrateContent': '60 g', 'cholesterolContent': '85 mg', 'fiberContent': '6 g', 'proteinContent': '45 g', 'saturatedFatContent': '2 g', 'sodiumContent': '1531 mg', 'fatContent': '10 g', 'unsaturatedFatContent': '0 g'}|Dinner
One Pot Lemon Chicken Orzo|40|4 servings|['2 tablespoons extra-virgin olive oil', '1 cup chopped yellow onion', '1 tablespoon chopped garlic', '1 cup (7 oz.) uncooked orzo', '2 cups heavy cream', '1 cup chicken broth', '2 lemons, zested and juiced', '2 cups shredded cooked chicken', '3 cups baby spinach', '½ cup shredded fontina cheese', '¼ cup freshly grated Parmesan cheese, plus more for garnish.', '2 tablespoons chopped fresh flat-leaf parsley, plus more for garnish', '¾ teaspoon black pepper', '½ teaspoon table salt']|Gather all ingredients.Heat oil in a large Dutch oven over medium. Add onion and cook, stirring occasionally, until softened, 2 to 3 minutes. Add garlic and cook, stirring occasionally, until fragrant, about 30 seconds. Stir in orzo and cook, stirring constantly, until lightly toasted, about 1 minute.Stir in heavy cream, broth, about 1 teaspoon lemon zest, and 3 tablespoons lemon juice; bring to a simmer over medium heat, stirring occasionally to prevent the bottom from sticking, about 3 minutes. Reduce heat to medium-low; simmer, stirring constantly, until orzo is tender and mixture is thickened, 8 to 10 minutes.Stir in chicken and spinach until spinach wilts, about 1 minute. Remove from heat. Stir in fontina, Parmesan, parsley, pepper, and salt until creamy, about 30 seconds.Serve immediately topped with additional Parmesan and parsley.|891 kcal|{'calories': '891 kcal', 'carbohydrateContent': '52 g', 'cholesterolContent': '237 mg', 'fiberContent': '5 g', 'proteinContent': '35 g', 'saturatedFatContent': '34 g', 'sodiumContent': '814 mg', 'fatContent': '63 g', 'unsaturatedFatContent': '0 g'}|Dinner
Chicken Tinola|50|4 servings|['1 tablespoon cooking oil', '1 medium onion, chopped', '2 cloves garlic, minced', '1 (1 1/2 inch) piece fresh ginger, peeled and thinly sliced', '1 tablespoon fish sauce', '3 pounds chicken legs and thighs, rinsed and patted dry', '2 (14 ounce) cans chicken broth', '1 chayote squash, peeled and cut into bite-sized pieces', 'salt and ground black pepper to taste', '1 head bok choy, chopped', '1 (8 ounce) package fresh spinach, chopped']|Gather all ingredients.Heat oil in a large pot over medium heat. Add onion and garlic; cook and stir until fragrant, about 2 minutes.Add ginger and fish sauce; cook and stir for 1 to 2 minutes. Stir in chicken and cook for 5 minutes.Pour in chicken broth and cook for 5 minutes. Add squash and simmer until chicken is no longer pink in the center, about 10 minutes. Season with salt and pepper.Add bok choy and spinach; cook until spinach is just wilted, 1 to 2 minutes. Serve hot.|532 kcal|{'calories': '532 kcal', 'carbohydrateContent': '14 g', 'cholesterolContent': '208 mg', 'fiberContent': '4 g', 'proteinContent': '66 g', 'saturatedFatContent': '6 g', 'sodiumContent': '1551 mg', 'sugarContent': '6 g', 'fatContent': '23 g', 'unsaturatedFatContent': '0 g'}|Dinner
Italian Sausage, Peppers, and Onions|45|6 servings|['6 (4 ounce) links sweet Italian sausage', '2 tablespoons butter', '1 medium yellow onion, sliced', '½ medium red onion, sliced', '4 cloves garlic, minced', '1 large red bell pepper, sliced', '1 medium green bell pepper, sliced', '1 teaspoon dried basil', '1 teaspoon dried oregano', '¼ cup white wine, or more to taste']|Cook sausage in a large skillet over medium heat until brown on all sides, 5 to 7 minutes. Remove from skillet, and slice.Melt butter in the same skillet. Stir in onions and garlic, and cook 2 to 3 minutes. Mix in bell peppers, season with basil and oregano, and stir in 1/4 cup wine. Continue to cook and stir until peppers and onions are tender, 5 to 7 minutes.Return sausage slices to the skillet. Reduce heat to low, cover, and simmer 15 minutes, or until sausage is heated through, adding more wine if needed.Serve hot and enjoy!|461 kcal|{'calories': '461 kcal', 'carbohydrateContent': '7 g', 'cholesterolContent': '96 mg', 'fiberContent': '2 g', 'proteinContent': '17 g', 'saturatedFatContent': '15 g', 'sodiumContent': '857 mg', 'sugarContent': '3 g', 'fatContent': '39 g', 'unsaturatedFatContent': '0 g'}|Dinner
Indian Chicken Curry|45|4 servings|['3 tablespoons olive oil', '1 small onion, chopped', '2 cloves garlic, minced', '3 tablespoons curry powder', '1 teaspoon ground cinnamon', '1 teaspoon paprika', '1 bay leaf', '½ teaspoon grated fresh ginger root', '½ teaspoon white sugar', 'salt to taste', '2 skinless, boneless chicken breast halves - cut into bite-size pieces', '1 tablespoon tomato paste', '1 cup plain yogurt', '¾ cup coconut milk', '½ lemon, juiced', '½ teaspoon cayenne pepper']|Heat olive oil in a skillet over medium heat. Sauté onion until lightly browned.Stir in garlic, curry powder, cinnamon, paprika, bay leaf, ginger, sugar, and salt. Continue stirring for 2 minutes.Add chicken pieces, tomato paste, yogurt, and coconut milk. Bring to a boil, reduce heat, and simmer for 20 to 25 minutes.Remove bay leaf, and stir in lemon juice and cayenne pepper. Simmer 5 more minutes.Serve hot and enjoy!|313 kcal|{'calories': '313 kcal', 'carbohydrateContent': '14 g', 'cholesterolContent': '38 mg', 'fiberContent': '4 g', 'proteinContent': '19 g', 'saturatedFatContent': '10 g', 'sodiumContent': '268 mg', 'sugarContent': '7 g', 'fatContent': '22 g', 'unsaturatedFatContent': '0 g'}|Dinner
